Date.Local,lax.ozone.Mean,lax.ozone.Max.Value,lax.ozone.Max.Hour,lax.ozone.AQI,lax.nitrogen.Mean,lax.nitrogen.Max.Value,lax.nitrogen.Max.Hour,lax.nitrogen.AQI,lax.pm.Max.Value,lax.pm.Max.Hour,lax.pm.Mean,lax.pm.AQI,lax.temp.Mean,lax.temp.Max.Value,lax.temp.Max.Hour,lax.rh.Mean,lax.rh.Max.Value,lax.rh.Max.Hour
2/17/07,0.014118,0.033,10,31,37.956522,58,19,55,10.2,0,10.2,43,70.666667,89,12,39.083333,62,4
2/18/07,0.034,0.043,10,40,20.73913,44,0,42,8.9,0,8.9,37,62.708333,73,12,56.916667,85,23
2/19/07,0.016471,0.033,11,31,17.73913,33,20,31,5.5,0,5.5,23,56.583333,67,14,72.375,86,5
2/20/07,0.014706,0.026,10,24,23.695652,34,22,32,11.9,0,11.9,50,56.541667,66,11,72.041667,85,23
2/21/07,0.018882,0.028,11,26,31.434783,46,23,43,20.6,0,20.6,69,56.666667,70,12,74.375,86,0
2/22/07,0.017176,0.022,7,20,24.478261,44,1,42,6.5,0,6.5,27,53.166667,58,13,76.833333,88,18
2/27/07,0.022667,0.033,12,31,13.6,35,22,33,3.9,0,3.9,16,53.333333,59,11,64.833333,85,6
2/28/07,0.033,0.036,18,33,14.695652,34,5,32,3.8,0,3.8,16,50.833333,59,12,49.208333,73,5
3/1/07,0.013059,0.028,10,26,23.238095,53,19,50,5.8,0,5.8,24,53.291667,66,12,39.5,54,18
3/2/07,0.012118,0.028,10,26,40.086957,59,7,56,10.1,0,10.1,42,56.083333,71,13,44.166667,65,4
3/3/07,0.013529,0.033,9,31,38.043478,58,18,55,NA,NA,NA,NA,62.583333,78,13,33.583333,54,6
3/4/07,0.016765,0.038,9,35,33.565217,62,20,60,7,0,7,29,65.5,81,15,26.875,48,3
3/5/07,0.012353,0.03,10,28,40.913043,64,21,62,7.2,0,7.2,30,69.5,87,13,20.125,32,23
3/6/07,0.012647,0.028,10,26,48.956522,65,11,63,9.9,0,9.9,41,70,86,10,33.166667,52,21
3/7/07,0.011118,0.024,11,22,48.954545,73,11,71,13.5,0,13.5,54,66.625,82,12,49.083333,70,23
3/7/07,0.011118,0.024,11,22,48.954545,73,11,71,14.1,0,14.1,55,66.625,82,12,49.083333,70,23
3/8/07,0.012412,0.024,10,22,35,56,10,53,12.2,0,12.2,51,60.25,72,11,65.5,83,23
3/9/07,0.011882,0.024,10,22,33,45,22,42,18.6,0,18.6,65,57.666667,69,11,74.583333,85,5
3/10/07,0.015471,0.035,10,32,41.521739,60,19,57,31.6,0,31.6,92,60.416667,73,12,70.416667,88,7
3/11/07,0.023882,0.052,11,48,40.304348,66,20,64,16.9,0,16.9,61,72.291667,94,13,38.666667,76,0
3/12/07,0.021294,0.048,10,44,52.869565,82,22,81,13.5,0,13.5,54,74.5,95,11,26.916667,43,22
3/13/07,0.020176,0.038,9,35,46.652174,64,0,62,17.8,0,17.8,63,67.916667,83,12,49.958333,85,23
3/13/07,0.020176,0.038,9,35,46.652174,64,0,62,19,0,19,66,67.916667,83,12,49.958333,85,23
3/14/07,0.017647,0.03,12,28,30.73913,45,10,42,26.5,0,26.5,81,61.458333,74,12,71.791667,85,0
3/15/07,0.021,0.038,12,35,43.26087,69,11,67,51.2,0,51.2,140,61.916667,78,12,73.708333,88,5
3/16/07,0.025765,0.042,11,39,38.347826,73,9,71,42.8,0,42.8,119,61.5,76,11,75.75,91,6
3/17/07,0.037471,0.048,11,44,30.869565,50,9,47,47,0,47,129,60.458333,76,12,75.666667,87,0
3/18/07,0.036824,0.045,9,42,16.391304,25,17,24,28.8,0,28.8,86,58.416667,66,13,74.458333,82,0
3/19/07,0.020529,0.032,13,30,27.26087,43,8,41,17.5,0,17.5,62,59.416667,67,14,72.958333,80,3
3/19/07,0.020529,0.032,13,30,27.26087,43,8,41,17.2,0,17.2,62,59.416667,67,14,72.958333,80,3
3/20/07,0.016412,0.021,12,19,28.695652,43,3,41,19.7,0,19.7,67,56.208333,60,13,79.916667,84,11
3/21/07,0.015882,0.027,9,25,20.217391,39,22,37,7,0,7,29,57.333333,65,13,69.25,84,0
3/22/07,0.014765,0.027,10,25,32.521739,47,18,44,9.5,0,9.5,40,64.708333,82,13,54.583333,82,5
3/23/07,0.027,0.037,11,34,29.869565,60,8,57,13,0,13,53,63.041667,73,11,64.166667,82,22
3/24/07,0.025235,0.034,11,31,15.565217,31,22,29,NA,NA,NA,NA,60.958333,69,12,70.75,83,23
3/25/07,0.032824,0.043,10,40,11.869565,22,5,21,18.5,0,18.5,64,59.333333,70,11,76.833333,86,2
3/25/07,0.032824,0.043,10,40,11.869565,22,5,21,16.2,0,16.2,60,59.333333,70,11,76.833333,86,2
3/26/07,0.026118,0.032,16,30,21.652174,38,12,36,23.1,0,23.1,74,58.166667,64,15,77.958333,84,6
3/27/07,0.038,0.041,14,38,7.695652,31,6,29,3.4,0,3.4,14,56,61,14,48.958333,84,0
3/28/07,0.016765,0.038,9,35,19.695652,43,19,41,6.5,0,6.5,27,59,67,11,43.708333,65,23
3/29/07,0.016647,0.037,11,34,34.608696,53,10,50,10.5,0,10.5,44,61.625,75,11,43.625,65,1
3/30/07,0.019118,0.038,11,35,36.565217,52,10,49,10.5,0,10.5,44,63.291667,78,11,45.375,82,23
3/31/07,0.022941,0.045,11,42,35.043478,51,11,48,13.2,0,13.2,53,63.458333,81,12,49.916667,77,0
3/31/07,0.022941,0.045,11,42,35.043478,51,11,48,13.8,0,13.8,55,63.458333,81,12,49.916667,77,0
4/1/07,0.028471,0.054,11,50,33.73913,50,22,47,22.6,0,22.6,73,62.75,78,11,60.916667,83,1
4/2/07,0.028353,0.038,12,35,36.391304,51,9,48,29.7,0,29.7,88,62.75,75,12,69.625,86,3
4/3/07,0.024353,0.031,10,29,25.782609,41,11,39,20.6,0,20.6,69,62.833333,76,11,70.916667,86,23
4/4/07,0.025412,0.038,10,35,32.652174,53,9,50,NA,NA,NA,NA,62.041667,78,12,75.125,86,4
4/5/07,0.028647,0.039,11,36,37.217391,55,10,52,44.3,0,44.3,123,62.291667,77,13,75.083333,85,2
4/6/07,0.034176,0.039,13,36,23.217391,32,8,30,23.2,0,23.2,74,60.458333,72,14,74.583333,85,1
4/6/07,0.034176,0.039,13,36,23.217391,32,8,30,24.5,0,24.5,77,60.458333,72,14,74.583333,85,1
4/7/07,0.032353,0.038,12,35,15.826087,24,14,23,18,0,18,63,59.583333,63,13,75,79,6
4/8/07,0.027,0.036,9,33,15.304348,26,23,25,15.6,0,15.6,58,59.75,66,15,75.875,81,21
4/9/07,0.023706,0.038,10,35,25.695652,34,6,32,11,0,11,46,61.583333,73,11,71.333333,86,2
4/10/07,0.025882,0.044,12,41,25.652174,46,22,43,11.2,0,11.2,47,63.125,72,10,68.208333,85,5
4/11/07,0.026059,0.044,10,41,24.173913,41,0,39,11.2,0,11.2,47,60.875,72,10,70.041667,82,2
4/12/07,0.039647,0.045,9,42,14.130435,39,7,37,8.9,0,8.9,37,60.416667,67,15,45.75,83,4
4/12/07,0.039647,0.045,9,42,14.130435,39,7,37,9,0,9,38,60.416667,67,15,45.75,83,4
4/13/07,0.016412,0.035,10,32,30.695652,53,8,50,8.3,0,8.3,35,66.791667,81,11,35.541667,61,23
4/14/07,0.028353,0.04,10,37,24.391304,44,0,42,7.7,0,7.7,32,60.916667,73,11,62.916667,80,5
4/15/07,0.03,0.047,8,44,11.565217,29,0,27,6.7,0,6.7,28,58.125,64,9,64.333333,82,0
4/16/07,0.020824,0.034,9,31,19.956522,35,23,33,10.5,0,10.5,44,59.375,69,12,68.291667,80,0
4/17/07,0.035214,0.039,11,36,19.666667,35,6,33,13.9,0,13.9,55,59.208333,71,7,71.125,83,3
4/18/07,0.041176,0.051,8,47,7,20,5,19,5,0,5,21,60.041667,67,14,34.25,80,3
4/18/07,0.041176,0.051,8,47,7,20,5,19,5.7,0,5.7,24,60.041667,67,14,34.25,80,3
4/19/07,0.038467,0.043,13,40,20.666667,41,5,39,6,0,6,25,59.958333,73,10,37.333333,66,22
4/20/07,0.015118,0.029,10,27,22.304348,35,6,33,6,0,6,25,51.625,54,1,77.166667,82,7
4/21/07,0.028529,0.045,10,42,16.869565,32,23,30,11.9,0,11.9,50,54.916667,66,12,70.583333,85,3
4/22/07,0.026588,0.041,9,38,16.521739,32,0,30,10.8,0,10.8,45,55.25,65,11,74.375,88,21
4/23/07,0.019706,0.038,11,35,19.913043,39,21,37,8.5,0,8.5,35,60.041667,71,11,66.25,88,2
4/24/07,0.018,0.038,10,35,30.26087,45,22,42,11.5,0,11.5,48,63.708333,79,11,58.041667,77,4
4/24/07,0.018,0.038,10,35,30.26087,45,22,42,10.1,0,10.1,42,63.708333,79,11,58.041667,77,4
4/25/07,0.025235,0.043,11,40,34.73913,75,10,73,13.4,0,13.4,54,66.541667,81,11,57,78,23
4/26/07,0.0206,0.039,9,36,25.315789,43,22,41,14.8,0,14.8,57,63.833333,75,11,66.25,85,3
4/27/07,0.021824,0.047,11,44,41.478261,71,9,69,18.4,0,18.4,64,69.541667,89,11,60.5,81,3
4/28/07,0.039118,0.056,11,54,26.043478,37,0,35,NA,NA,NA,NA,66.583333,84,12,72.375,87,4
4/29/07,0.045647,0.056,11,54,15.782609,21,10,20,32.3,0,32.3,93,64,77,13,76.458333,87,5
4/30/07,0.036353,0.048,11,44,22.73913,37,9,35,25.6,0,25.6,79,63.875,77,12,73.416667,85,0
4/30/07,0.036353,0.048,11,44,22.73913,37,9,35,23.7,0,23.7,75,63.875,77,12,73.416667,85,0
5/1/07,0.032353,0.041,12,38,20.652174,38,7,36,20.8,0,20.8,69,63,75,12,73,82,1
5/2/07,0.027588,0.04,10,37,17.73913,34,6,32,14.6,0,14.6,56,62.708333,71,12,69.875,79,21
5/3/07,0.028,0.044,9,41,19.217391,39,5,37,9.4,0,9.4,39,61.333333,72,10,60.625,79,0
5/4/07,0.021588,0.032,9,30,22.217391,33,0,31,8.7,0,8.7,36,60.208333,70,11,66.666667,78,23
5/5/07,0.027471,0.047,10,44,21.478261,47,22,44,9.1,0,9.1,38,63.333333,72,10,58.5,83,4
5/6/07,0.033235,0.054,10,50,18.434783,45,23,42,4.7,0,4.7,20,72.125,85,11,21.958333,37,4
5/6/07,0.033235,0.054,10,50,18.434783,45,23,42,3.8,0,3.8,16,72.125,85,11,21.958333,37,4
5/7/07,0.035824,0.058,10,61,29.086957,59,7,56,7,0,7,29,79.5,95,11,20,36,1
5/8/07,0.028824,0.053,10,49,36.695652,59,22,56,9.3,0,9.3,39,82.25,98,11,19.833333,39,23
5/9/07,0.023647,0.043,11,40,36.521739,58,0,55,14.3,0,14.3,56,72.333333,92,11,53.541667,78,23
5/10/07,0.017,0.037,10,34,39.521739,67,9,65,18.3,0,18.3,64,67.125,83,11,59.583333,83,4
5/11/07,0.033529,0.038,11,35,26.217391,47,0,44,14.4,0,14.4,56,62.833333,74,11,64.583333,79,23
5/12/07,0.034235,0.056,11,54,16.26087,30,23,28,21.2,0,21.2,70,61.291667,74,12,67.083333,81,1
5/12/07,0.034235,0.056,11,54,16.26087,30,23,28,21.4,0,21.4,71,61.291667,74,12,67.083333,81,1
5/13/07,0.042,0.063,10,77,17.956522,33,2,31,18,0,18,63,62.833333,75,11,66,80,4
5/14/07,0.034647,0.049,11,45,22.826087,39,9,37,21.5,0,21.5,71,62.416667,74,11,69.583333,84,23
5/15/07,0.040294,0.048,12,44,21.565217,37,11,35,28.1,0,28.1,85,61.125,73,13,72.916667,83,0
5/16/07,0.038412,0.049,12,45,21.652174,39,8,37,28.1,0,28.1,85,61.333333,72,13,72.083333,81,22
5/17/07,0.044529,0.057,12,58,19.913043,37,9,35,25,0,25,78,61.875,71,11,73,83,22
5/18/07,0.041059,0.06,11,67,23.652174,41,10,39,27.4,0,27.4,83,62.208333,73,11,74.666667,83,3
5/18/07,0.041059,0.06,11,67,23.652174,41,10,39,28.5,0,28.5,85,62.208333,73,11,74.666667,83,3
5/19/07,0.051765,0.072,11,105,19.73913,32,11,30,27.4,0,27.4,83,62.916667,76,12,73.5,84,4
5/20/07,0.054235,0.064,11,80,11.521739,17,11,16,24,0,24,76,63.083333,73,13,74.791667,83,0
5/21/07,0.025765,0.029,16,27,19.826087,30,8,28,11.7,0,11.7,49,60.875,64,15,75,85,4
5/22/07,0.036941,0.046,11,43,18.565217,36,5,34,15.4,0,15.4,58,63,71,13,70.791667,83,4
5/23/07,0.039176,0.05,10,46,12.478261,25,7,24,10.3,0,10.3,43,63.416667,73,12,69.291667,83,0
5/24/07,0.037412,0.044,10,41,20.434783,45,8,42,14,0,14,55,63.25,76,10,71.75,85,3
5/24/07,0.037412,0.044,10,41,20.434783,45,8,42,14.7,0,14.7,56,63.25,76,10,71.75,85,3
5/25/07,0.037824,0.052,10,48,20.826087,41,8,39,20.9,0,20.9,70,64.375,74,10,69.833333,79,3
5/26/07,0.046647,0.059,10,64,16,27,10,25,23.6,0,23.6,75,64.25,77,10,71.125,82,21
5/27/07,0.048706,0.062,11,74,13.173913,18,9,17,22.6,0,22.6,73,64.291667,76,11,70.333333,82,22
5/28/07,0.035647,0.047,8,44,10.217391,13,22,12,13.1,0,13.1,53,64.125,75,11,68.625,82,0
5/29/07,0.033882,0.039,13,36,15.434783,27,8,25,12,0,12,50,63.25,76,14,68.583333,81,23
5/30/07,0.034824,0.045,11,42,14.956522,37,10,35,14.1,0,14.1,55,62.666667,75,11,70.291667,82,0
5/31/07,0.032176,0.047,11,44,23,43,10,41,18.1,0,18.1,64,62.833333,75,13,69.875,81,0
6/1/07,0.029059,0.039,13,36,24.086957,38,11,36,19.7,0,19.7,67,62.666667,74,11,71.666667,83,3
6/2/07,0.035,0.05,11,46,19.086957,34,3,32,17.8,0,17.8,63,65.125,77,12,71.833333,81,0
6/3/07,0.036824,0.052,11,48,13.956522,19,11,18,22,0,22,72,63.916667,74,13,74.958333,84,21
6/4/07,0.021765,0.043,10,40,26.434783,46,9,43,21.6,0,21.6,71,65.25,75,12,72.708333,83,22
6/5/07,0.021059,0.027,13,25,21.608696,32,10,30,13.5,0,13.5,54,61.625,66,13,77.416667,84,2
6/5/07,0.021059,0.027,13,25,21.608696,32,10,30,13,0,13,53,61.625,66,13,77.416667,84,2
6/6/07,0.021353,0.034,10,31,19.478261,34,6,32,9,0,9,38,63.833333,72,9,60.041667,80,4
6/7/07,0.023235,0.038,11,35,21.73913,31,22,29,11.3,0,11.3,47,66.208333,79,11,59.958333,81,3
6/8/07,0.026471,0.037,10,34,26.347826,41,22,39,11.7,0,11.7,49,66.625,80,11,61.875,77,3
6/9/07,0.031235,0.044,11,41,17.565217,28,0,26,15,0,15,57,65.041667,77,11,68.791667,80,2
6/10/07,0.044588,0.059,10,64,12.913043,21,0,20,17.8,0,17.8,63,65.625,79,12,71.208333,81,1
6/11/07,0.035529,0.048,11,44,20.043478,33,10,31,17.7,0,17.7,63,66.166667,76,13,70.25,80,4
6/11/07,0.035529,0.048,11,44,20.043478,33,10,31,18,0,18,63,66.166667,76,13,70.25,80,4
6/12/07,0.038765,0.059,11,64,25.521739,45,8,42,18.4,0,18.4,64,69.291667,81,11,66.666667,80,23
6/13/07,0.024353,0.051,10,47,29.913043,56,9,53,13.9,0,13.9,55,71.083333,87,11,66.625,85,4
6/14/07,0.019588,0.039,10,36,33.608696,50,9,47,13.8,0,13.8,55,71.75,87,12,65.75,85,4
6/15/07,0.020588,0.032,10,30,26.73913,36,0,34,12.8,0,12.8,52,71.083333,86,15,67.833333,85,3
6/16/07,0.036,0.045,11,42,17.043478,31,2,29,15,0,15,57,68.958333,84,12,69.833333,85,23
6/17/07,0.037941,0.053,11,49,12,17,9,16,17,0,17,61,67.833333,81,11,71.375,85,0
6/17/07,0.037941,0.053,11,49,12,17,9,16,17.3,0,17.3,62,67.833333,81,11,71.375,85,0
6/18/07,0.024412,0.037,10,34,19.217391,27,9,25,16.3,0,16.3,60,69.041667,81,11,67.916667,84,0
6/19/07,0.030882,0.041,10,38,20.956522,40,10,38,12.9,0,12.9,53,69.375,84,11,67.208333,84,0
6/20/07,0.026824,0.052,11,48,26.043478,46,8,43,13.7,0,13.7,54,70.291667,84,11,66.208333,87,4
6/21/07,0.022824,0.041,11,38,33.217391,46,23,43,15,0,15,57,71.291667,85,11,63.833333,82,3
6/22/07,0.025941,0.047,11,44,37.869565,47,1,44,17.4,0,17.4,62,73.625,89,12,60.666667,79,23
6/23/07,0.039375,0.043,10,40,19,28,0,26,NA,NA,NA,NA,70,80,12,68.6,85,2
6/26/07,0.024429,0.048,10,44,24.181818,34,22,32,NA,NA,NA,NA,71.25,85,13,63.25,77,21
6/27/07,0.027588,0.049,10,45,30.478261,53,8,50,NA,NA,NA,NA,71.916667,84,10,64.083333,82,4
6/28/07,0.030588,0.052,11,48,31.391304,43,9,41,NA,NA,NA,NA,73.916667,88,11,61.791667,85,5
6/29/07,0.033353,0.06,12,67,31.478261,50,23,47,16.6,0,16.6,60,74.375,86,10,62.125,85,4
6/29/07,0.033353,0.06,12,67,31.478261,50,23,47,16.7,0,16.7,61,74.375,86,10,62.125,85,4
6/30/07,0.034118,0.066,10,87,24,37,0,35,17.8,0,17.8,63,74.875,86,10,64.75,84,4
7/1/07,0.036824,0.07,10,100,23,42,22,40,15,0,15,57,77.166667,92,11,57.875,78,4
7/2/07,0.029471,0.062,10,74,31.608696,53,9,50,17.2,0,17.2,62,78.333333,90,11,57.083333,75,5
7/3/07,0.034059,0.064,11,80,32.73913,49,8,46,17.8,0,17.8,63,79.5,93,12,54.75,75,4
7/4/07,0.045882,0.067,10,90,22.565217,35,8,33,39,0,39,110,75.625,87,10,67.291667,82,21
7/5/07,0.024941,0.047,10,44,25.913043,42,9,40,44.8,0,44.8,124,73.708333,84,10,70.333333,84,3
7/6/07,0.024714,0.046,10,43,23.315789,32,12,30,21.8,0,21.8,71,72.833333,88,11,71.125,84,3
7/7/07,0.030412,0.05,10,46,25.652174,46,9,43,22,0,22,72,72.333333,84,10,70.5,85,0
7/8/07,0.032765,0.048,9,44,15.391304,22,1,21,14.4,0,14.4,56,71.958333,82,10,69.791667,82,0
7/9/07,0.026882,0.035,10,32,18.130435,30,7,28,12.6,0,12.6,52,70.75,83,12,69.791667,79,2
7/10/07,0.017941,0.025,10,23,18.869565,37,11,35,11.9,0,11.9,50,69.291667,80,10,71.5,79,0
7/11/07,0.016529,0.029,11,27,16.304348,26,7,25,5.2,0,5.2,22,69.583333,80,13,68.75,79,2
7/11/07,0.016529,0.029,11,27,16.304348,26,7,25,9.5,0,9.5,40,69.583333,80,13,68.75,79,2
7/12/07,0.015941,0.032,10,30,22.73913,33,21,31,10.8,0,10.8,45,71.583333,84,12,63.416667,83,3
7/13/07,0.017294,0.036,10,33,31.782609,54,11,51,10.8,0,10.8,45,76.916667,92,11,52.083333,74,4
7/14/07,0.017059,0.03,10,28,27.521739,42,23,40,13.6,0,13.6,54,76.375,90,13,61.083333,70,3
7/15/07,0.028294,0.047,9,44,18.043478,40,0,38,14.5,0,14.5,56,74.375,86,13,67.458333,80,4
7/16/07,0.027176,0.047,11,44,23.73913,34,23,32,17,0,17,61,71.583333,83,12,71.041667,82,1
7/17/07,0.024059,0.043,10,40,24,44,9,42,15.7,0,15.7,59,70.791667,81,11,67.375,79,4
7/17/07,0.024059,0.043,10,40,24,44,9,42,15,0,15,57,70.791667,81,11,67.375,79,4
7/18/07,0.013294,0.031,10,29,19.478261,33,9,31,8.3,0,8.3,35,72.791667,84,11,64.875,79,4
7/19/07,0.017294,0.029,12,27,24.652174,40,23,38,11.1,0,11.1,46,75.291667,89,11,64.291667,81,4
7/20/07,0.023471,0.04,11,37,28.608696,38,9,36,18.8,0,18.8,65,72.958333,86,11,70.291667,85,4
7/21/07,0.033588,0.051,11,47,20.565217,31,0,29,18.3,0,18.3,64,71.958333,85,13,71.458333,83,1
7/22/07,0.036471,0.064,10,80,19.26087,24,8,23,21.9,0,21.9,72,73.791667,86,11,68.5,80,0
7/23/07,0.032118,0.058,11,61,33.173913,54,10,51,19.2,0,19.2,66,75.958333,89,12,66.458333,82,5
7/23/07,0.032118,0.058,11,61,33.173913,54,10,51,19.3,0,19.3,66,75.958333,89,12,66.458333,82,5
7/24/07,0.022294,0.038,10,35,26.913043,48,8,45,16.8,0,16.8,61,75.458333,87,10,68.625,82,1
7/25/07,0.028235,0.055,10,51,33,53,9,50,18.9,0,18.9,65,76.5,91,11,64.5,81,5
7/26/07,0.031,0.057,10,58,37.956522,84,9,83,16.8,0,16.8,61,78.958333,93,11,55.416667,76,4
7/27/07,0.026529,0.049,10,45,33,69,8,67,12.4,0,12.4,52,78.458333,92,11,53.041667,71,3
7/28/07,0.029412,0.045,10,42,23.217391,41,1,39,14.3,0,14.3,56,77,91,11,62.541667,82,5
7/29/07,0.032824,0.053,10,49,17.347826,32,2,30,13.9,0,13.9,55,74.625,88,11,66.25,82,4
7/29/07,0.032824,0.053,10,49,17.347826,32,2,30,13.4,0,13.4,54,74.625,88,11,66.25,82,4
7/30/07,0.025471,0.041,11,38,23.521739,31,3,29,15,0,15,57,73.75,85,11,69.041667,83,3
7/31/07,0.029294,0.035,12,32,22.173913,31,0,29,16.4,0,16.4,60,73.5,84,11,70.583333,81,0
8/1/07,0.033706,0.046,11,43,21.73913,40,10,38,19.5,0,19.5,67,73.541667,87,12,71.791667,83,22
