Date.Local,atl.ozone.Mean,atl.ozone.Max.Value,atl.ozone.Max.Hour,atl.ozone.AQI,atl.nitrogen.Mean,atl.nitrogen.Max.Value,atl.nitrogen.Max.Hour,atl.nitrogen.AQI,atl.pm.Max.Value,atl.pm.Max.Hour,atl.pm.Mean,atl.pm.AQI,atl.temp.Mean,atl.temp.Max.Value,atl.temp.Max.Hour,atl.rh.Mean,atl.rh.Max.Value,atl.rh.Max.Hour
5/25/07,0.033176,0.056,11,54,14.391304,39,22,37,NA,NA,NA,NA,69.166667,83,14,71.041667,100,4
5/26/07,0.036824,0.064,10,80,14,36,22,34,NA,NA,NA,NA,70.5,86,15,68.166667,100,2
5/27/07,0.034353,0.055,10,51,11.041667,32,23,30,NA,NA,NA,NA,70.708333,85,14,69,100,3
5/28/07,0.033059,0.053,11,49,10.583333,37,22,35,NA,NA,NA,NA,70,83,13,69,100,5
5/29/07,0.035471,0.06,11,67,12.208333,38,23,36,NA,NA,NA,NA,71.583333,86,15,66.458333,100,4
5/30/07,0.031235,0.053,10,49,16.761905,38,0,36,NA,NA,NA,NA,72.833333,87,14,59.083333,100,5
5/31/07,0.046353,0.07,10,100,11.208333,30,0,28,NA,NA,NA,NA,74.583333,88,14,64.208333,89,3
6/1/07,0.049235,0.061,11,71,7.375,21,5,20,NA,NA,NA,NA,75.125,87,14,68.083333,99,5
6/2/07,0.037118,0.043,16,40,4.416667,11,8,10,NA,NA,NA,NA,70.541667,76,10,74.583333,88,6
6/3/07,0.037882,0.061,10,71,8.125,29,23,27,NA,NA,NA,NA,75.125,88,15,66.083333,92,0
6/4/07,0.036941,0.063,11,77,16.583333,44,23,42,NA,NA,NA,NA,76.541667,90,14,61.375,98,4
6/5/07,0.028588,0.05,9,46,19.416667,48,0,45,NA,NA,NA,NA,72.75,87,12,74.083333,100,16
6/6/07,0.044118,0.078,10,126,11.416667,33,23,31,NA,NA,NA,NA,76.25,91,15,64.041667,100,1
6/7/07,0.022471,0.034,10,31,10.458333,36,0,34,NA,NA,NA,NA,77.583333,92,15,71.958333,95,4
6/8/07,0.012647,0.025,9,23,11.380952,21,19,20,NA,NA,NA,NA,75.652174,90,12,85.26087,97,2
6/9/07,0.036,0.054,12,50,9.291667,30,22,28,NA,NA,NA,NA,79.583333,91,15,71.833333,100,3
6/10/07,0.038941,0.064,11,80,12.333333,44,22,42,NA,NA,NA,NA,78.25,93,14,62.541667,95,3
6/11/07,0.0536,0.061,11,71,14.176471,37,0,35,NA,NA,NA,NA,76.058824,89,15,80.647059,97,7
6/12/07,0.029059,0.047,12,44,4.733333,21,23,20,NA,NA,NA,NA,72.133333,81,15,86.6,100,9
6/13/07,0.050882,0.067,10,90,12.190476,26,0,25,NA,NA,NA,NA,70.5,84,14,75.625,100,0
6/14/07,0.038059,0.065,9,84,8.541667,23,20,22,NA,NA,NA,NA,72.125,83,14,76,97,1
6/15/07,0.034588,0.049,13,45,6.25,18,4,17,NA,NA,NA,NA,71.125,81,15,83.625,97,2
6/16/07,0.049059,0.071,11,101,2.833333,6,23,6,NA,NA,NA,NA,76.166667,88,14,74.25,100,2
6/17/07,0.057529,0.071,10,101,6.65,15,3,14,NA,NA,NA,NA,80.5,92,15,66.875,95,5
6/18/07,0.043824,0.067,10,90,6.416667,25,7,24,NA,NA,NA,NA,82.041667,91,15,62.333333,83,5
6/19/07,0.015824,0.026,10,24,9.55,20,3,19,NA,NA,NA,NA,74.041667,87,13,86.916667,100,16
6/20/07,0.035,0.051,11,47,10.041667,21,22,20,NA,NA,NA,NA,75.826087,88,14,76.043478,100,0
6/21/07,0.050235,0.082,11,140,12.625,33,23,31,NA,NA,NA,NA,74.708333,88,14,66.25,98,5
6/22/07,0.037167,0.093,12,169,29,65,22,63,NA,NA,NA,NA,72.941176,92,14,72.625,100,3
6/23/07,0.054941,0.099,11,185,21.75,55,0,52,NA,NA,NA,NA,78.083333,94,14,63.458333,99,4
6/24/07,0.047118,0.086,9,151,20.1,43,0,41,NA,NA,NA,NA,80.26087,95,14,61.565217,97,4
6/25/07,0.027353,0.06,9,67,17.958333,38,1,36,NA,NA,NA,NA,75,90,12,83.583333,100,15
6/26/07,0.038824,0.06,13,67,5.25,17,23,16,NA,NA,NA,NA,77.958333,89,15,77.833333,100,0
6/27/07,0.024294,0.042,10,39,7.5,23,1,22,NA,NA,NA,NA,78.791667,90,15,74.166667,99,5
6/28/07,0.038882,0.058,11,61,6.857143,17,23,16,NA,NA,NA,NA,79.041667,92,14,76.416667,100,20
6/29/07,0.036706,0.066,11,87,13.210526,30,22,28,NA,NA,NA,NA,77.208333,89,14,85.416667,100,0
6/30/07,0.049176,0.076,11,119,13.916667,28,20,26,NA,NA,NA,NA,80.125,91,14,77.458333,100,3
7/1/07,0.034529,0.056,9,54,12.4,25,4,24,NA,NA,NA,NA,78.166667,91,14,81.75,99,5
7/2/07,0.034235,0.045,10,42,7.958333,20,4,19,NA,NA,NA,NA,73.791667,82,12,88.791667,100,3
7/3/07,0.030353,0.042,11,39,4.875,12,7,11,NA,NA,NA,NA,72.5,79,15,81.208333,90,5
7/4/07,0.034529,0.052,10,48,4.708333,24,23,23,NA,NA,NA,NA,73.625,84,16,75.208333,100,2
7/5/07,0.052235,0.091,12,164,17.5,57,22,54,NA,NA,NA,NA,74.083333,87,16,76.291667,100,2
7/6/07,0.025824,0.045,11,42,21.5,46,0,43,NA,NA,NA,NA,75.333333,85,14,84,100,3
7/7/07,0.018824,0.036,9,33,12.25,34,1,32,NA,NA,NA,NA,74.916667,81,14,85.041667,95,7
7/8/07,0.012235,0.022,11,20,8.95,22,22,21,NA,NA,NA,NA,73.208333,78,14,94.833333,100,3
7/9/07,0.020471,0.046,9,43,13.541667,27,21,25,NA,NA,NA,NA,75.458333,89,13,91.666667,100,0
7/10/07,0.014647,0.031,10,29,14.208333,28,21,26,NA,NA,NA,NA,75.583333,86,12,88.166667,100,0
7/11/07,0.011647,0.021,12,19,12.125,25,23,24,NA,NA,NA,NA,75.166667,82,16,91.416667,99,3
7/12/07,0.033824,0.063,11,77,18.958333,53,22,50,NA,NA,NA,NA,76.083333,86,15,74.208333,100,1
7/13/07,0.040867,0.069,12,97,22.958333,51,21,48,NA,NA,NA,NA,74.041667,84,14,78.708333,100,4
7/14/07,0.028647,0.048,12,44,7.833333,17,0,16,NA,NA,NA,NA,72.916667,82,14,89.041667,100,21
7/15/07,0.026889,0.032,10,30,10.5,26,19,25,NA,NA,NA,NA,72.666667,80,14,93.375,100,0
7/23/07,0.018,0.039,12,36,12.916667,38,20,36,NA,NA,NA,NA,71.75,82,11,79.958333,100,1
7/24/07,0.047529,0.065,11,84,7.166667,22,0,21,NA,NA,NA,NA,75.916667,87,14,67.5,100,5
7/25/07,0.041529,0.059,10,64,5.25,17,7,16,NA,NA,NA,NA,74.5,86,15,82.5,100,4
7/26/07,0.037118,0.067,11,90,9.666667,28,23,26,NA,NA,NA,NA,75.833333,88,13,84.916667,100,0
7/27/07,0.033824,0.063,11,77,15.125,34,22,32,NA,NA,NA,NA,77.833333,89,14,79.875,100,1
7/28/07,0.030176,0.042,12,39,11.958333,30,0,28,NA,NA,NA,NA,78.5,89,14,82.916667,97,5
7/29/07,0.024471,0.046,10,43,4.636364,9,10,8,NA,NA,NA,NA,75.956522,85,12,95.173913,100,2
7/30/07,0.047235,0.074,12,112,NA,NA,NA,NA,NA,NA,NA,NA,78.416667,90,15,86.916667,100,0
7/31/07,0.035471,0.06,10,67,NA,NA,NA,NA,NA,NA,NA,NA,77.875,87,13,83.166667,100,3
8/1/07,0.034353,0.062,11,74,NA,NA,NA,NA,NA,NA,NA,NA,77.875,90,15,79.708333,100,1
8/2/07,0.042588,0.07,11,100,NA,NA,NA,NA,NA,NA,NA,NA,78.791667,91,14,75.041667,100,3
8/3/07,0.041824,0.075,10,115,NA,NA,NA,NA,NA,NA,NA,NA,79.75,92,14,74.125,100,4
8/4/07,0.039176,0.079,10,129,NA,NA,NA,NA,NA,NA,NA,NA,81.125,95,13,70.791667,100,3
8/5/07,0.032706,0.072,9,105,NA,NA,NA,NA,NA,NA,NA,NA,80.75,94,12,80.708333,99,4
8/6/07,0.042824,0.081,11,136,NA,NA,NA,NA,NA,NA,NA,NA,83.583333,97,14,75.666667,100,1
8/7/07,0.049412,0.092,11,166,NA,NA,NA,NA,NA,NA,NA,NA,85,97,13,72.916667,99,4
8/8/07,0.041471,0.085,10,150,NA,NA,NA,NA,NA,NA,NA,NA,86.375,99,15,71.708333,96,4
8/9/07,0.038353,0.072,10,105,15.363636,42,22,40,NA,NA,NA,NA,87,101,13,66.166667,97,3
8/10/07,0.05,0.086,10,151,15.833333,37,0,35,NA,NA,NA,NA,86.25,101,15,65.583333,99,6
8/11/07,0.053706,0.093,10,169,17.375,34,3,32,NA,NA,NA,NA,85.875,99,14,60.375,88,6
8/12/07,0.035176,0.054,11,50,13,32,2,30,NA,NA,NA,NA,79.958333,89,16,80.666667,96,23
8/13/07,0.041529,0.086,10,151,NA,NA,NA,NA,NA,NA,NA,NA,83.708333,98,14,67.666667,100,2
8/14/07,0.049235,0.096,10,177,24.454545,61,21,58,NA,NA,NA,NA,81.416667,98,14,61.416667,96,6
8/15/07,0.067235,0.124,12,220,32.291667,67,22,65,NA,NA,NA,NA,82.625,100,14,62.416667,98,5
8/16/07,0.069412,0.102,10,192,22.333333,57,0,54,NA,NA,NA,NA,85.458333,101,13,61.416667,93,5
8/17/07,0.059706,0.088,10,156,17.458333,45,5,42,NA,NA,NA,NA,84.375,100,14,68.666667,88,22
8/18/07,0.039294,0.076,11,119,12.708333,38,20,36,NA,NA,NA,NA,81.666667,97,14,76.25,100,19
8/19/07,0.043824,0.059,10,64,8.708333,23,0,22,NA,NA,NA,NA,82.333333,95,15,67.833333,100,0
8/20/07,0.027765,0.048,11,44,16.9,32,23,30,NA,NA,NA,NA,82.416667,95,16,69.166667,99,4
8/21/07,0.031471,0.057,10,58,18.375,50,22,47,NA,NA,NA,NA,84.041667,98,15,69.958333,96,3
8/22/07,0.042235,0.075,11,115,23.863636,62,21,60,NA,NA,NA,NA,87.380952,100,14,61.333333,98,4
8/23/07,0.042588,0.068,11,93,10.083333,24,2,23,NA,NA,NA,NA,81.869565,96,14,77.869565,100,21
8/24/07,0.036706,0.075,10,115,17.5,35,23,33,NA,NA,NA,NA,78.583333,94,15,86.291667,100,0
8/25/07,0.048471,0.086,10,151,14.333333,29,0,27,NA,NA,NA,NA,79.166667,91,13,82.541667,100,0
8/26/07,0.029059,0.061,10,71,14.291667,26,20,25,NA,NA,NA,NA,75.791667,91,14,91.416667,100,0
8/27/07,0.033882,0.055,11,51,8.25,16,5,15,NA,NA,NA,NA,76.5,86,15,89.75,100,0
8/28/07,0.023529,0.042,11,39,6.708333,17,8,16,NA,NA,NA,NA,77.833333,86,14,87.541667,100,1
8/29/07,0.011588,0.026,10,24,14.375,27,19,25,NA,NA,NA,NA,76.25,88,11,93.916667,100,2
8/30/07,0.021824,0.047,10,44,14.708333,30,21,28,NA,NA,NA,NA,76.625,89,13,91.583333,100,0
8/31/07,0.031882,0.048,10,44,7.619048,19,0,18,NA,NA,NA,NA,75.333333,84,15,92.041667,100,0
9/1/07,0.040765,0.051,11,47,4.583333,9,0,8,NA,NA,NA,NA,74.958333,84,12,87,100,1
9/2/07,0.029294,0.049,11,45,5.666667,27,23,25,NA,NA,NA,NA,74.833333,82,15,84.583333,99,23
9/3/07,0.031176,0.06,10,67,14.789474,31,20,29,NA,NA,NA,NA,75.166667,88,14,76.875,100,0
9/4/07,0.043765,0.086,11,151,19.291667,45,21,42,NA,NA,NA,NA,76.291667,90,14,80.666667,100,2
9/5/07,0.036824,0.066,11,87,15.916667,44,9,42,NA,NA,NA,NA,76.541667,90,14,78.041667,100,0
9/6/07,0.025824,0.037,9,34,10,30,0,28,NA,NA,NA,NA,74.625,83,12,84.833333,100,2
9/7/07,0.027529,0.048,11,44,6.958333,32,22,30,NA,NA,NA,NA,76.541667,86,14,79.416667,100,6
9/8/07,0.030235,0.058,11,61,12.791667,32,21,30,NA,NA,NA,NA,74.375,88,14,78.916667,100,0
9/9/07,0.040647,0.076,11,119,15.875,48,21,45,NA,NA,NA,NA,75.913043,90,14,75,100,1
9/10/07,0.040059,0.073,10,108,21.416667,32,0,30,NA,NA,NA,NA,77.25,91,14,71.083333,100,4
9/11/07,0.016412,0.04,9,37,NA,NA,NA,NA,NA,NA,NA,NA,73.75,89,12,88.583333,100,5
9/12/07,0.021529,0.045,11,42,NA,NA,NA,NA,NA,NA,NA,NA,75.208333,85,14,88.875,100,0
9/13/07,0.022059,0.036,10,33,NA,NA,NA,NA,NA,NA,NA,NA,71.916667,85,12,94.25,100,0
9/14/07,0.010824,0.017,8,16,NA,NA,NA,NA,NA,NA,NA,NA,72.695652,81,12,96.956522,100,0
9/15/07,0.035765,0.048,11,44,NA,NA,NA,NA,NA,NA,NA,NA,69.875,82,14,78.458333,100,0
9/16/07,0.024882,0.044,11,41,NA,NA,NA,NA,NA,NA,NA,NA,65.791667,76,14,79.458333,100,23
9/17/07,0.030824,0.054,11,50,NA,NA,NA,NA,NA,NA,NA,NA,68.083333,79,14,81.666667,100,0
9/18/07,0.027824,0.052,10,48,15.181818,37,20,35,NA,NA,NA,NA,65.833333,79,14,79.458333,100,0
9/19/07,0.035118,0.057,10,58,17.666667,41,21,39,NA,NA,NA,NA,66,81,14,77.708333,100,0
9/20/07,0.028471,0.033,8,31,6.375,19,0,18,NA,NA,NA,NA,71.125,79,11,80.541667,95,0
9/21/07,0.018353,0.021,11,19,3.208333,7,5,7,NA,NA,NA,NA,72.041667,77,15,90.916667,98,3
9/22/07,0.023647,0.032,10,30,1.541667,4,7,4,NA,NA,NA,NA,77.041667,86,14,84.041667,97,3
9/23/07,0.017529,0.031,11,29,2,8,23,8,NA,NA,NA,NA,76.125,85,14,89.875,100,6
9/24/07,0.023529,0.046,10,43,10.1,26,21,25,NA,NA,NA,NA,76.5,89,13,82.958333,100,0
9/25/07,0.028529,0.055,11,51,8.875,22,21,21,NA,NA,NA,NA,74.458333,87,14,84.208333,100,0
9/26/07,0.023941,0.05,10,46,9.5,24,8,23,NA,NA,NA,NA,71.791667,84,12,85.458333,100,0
9/27/07,0.019059,0.035,10,32,14.25,28,9,26,NA,NA,NA,NA,72.5,84,11,88.291667,100,0
9/28/07,0.034353,0.049,10,45,15.083333,27,19,25,NA,NA,NA,NA,72.25,86,13,68.833333,100,0
9/29/07,0.033,0.059,11,64,10.791667,39,22,37,NA,NA,NA,NA,66.391304,82,14,61.608696,95,23
9/30/07,0.025882,0.05,10,46,15.166667,37,20,35,NA,NA,NA,NA,62.458333,80,14,71.25,100,1
10/1/07,0.022765,0.047,10,44,18.85,37,20,35,NA,NA,NA,NA,64.208333,82,14,75.375,100,0
10/2/07,0.039824,0.046,10,43,10.833333,28,0,26,NA,NA,NA,NA,69.166667,83,14,71.708333,100,2
10/3/07,0.022235,0.027,9,25,5.041667,8,7,8,NA,NA,NA,NA,73.958333,78,14,80.875,93,23
10/4/07,0.010765,0.017,11,16,4.75,12,5,11,NA,NA,NA,NA,73.541667,80,15,93.625,100,5
10/5/07,0.011412,0.02,11,19,5.541667,18,20,17,NA,NA,NA,NA,74.041667,81,14,91.833333,100,0
10/6/07,0.014765,0.027,10,25,4.625,13,21,12,NA,NA,NA,NA,73.208333,82,15,88.666667,100,2
10/7/07,0.017824,0.035,10,32,7.583333,24,20,23,NA,NA,NA,NA,72.125,85,12,85.625,100,0
10/8/07,0.016,0.032,11,30,8.8,18,22,17,NA,NA,NA,NA,72.166667,84,13,88.333333,100,0
10/9/07,0.010471,0.022,10,20,12.791667,21,9,20,NA,NA,NA,NA,70.291667,83,14,92.208333,100,0
10/10/07,0.026706,0.045,10,42,18.083333,40,19,38,NA,NA,NA,NA,69.458333,83,14,70.416667,100,0
10/11/07,0.011941,0.022,10,20,13.458333,29,20,27,NA,NA,NA,NA,59.041667,69,14,58.916667,79,6
10/12/07,0.013941,0.028,11,26,19.458333,40,19,38,NA,NA,NA,NA,56.625,74,14,71.708333,100,4
10/13/07,0.023471,0.048,11,44,15.541667,35,20,33,NA,NA,NA,NA,56.375,75,14,77.791667,100,0
10/14/07,0.035471,0.069,10,97,13.916667,40,20,38,NA,NA,NA,NA,60.291667,79,14,75.666667,100,0
10/15/07,0.041706,0.058,10,61,12.5,28,0,26,NA,NA,NA,NA,64.708333,80,13,77.5,100,0
10/16/07,0.028059,0.037,10,34,4.958333,24,5,23,NA,NA,NA,NA,68.583333,77,15,87.583333,100,5
10/17/07,0.028353,0.037,11,34,6.958333,25,6,24,NA,NA,NA,NA,70.304348,82,15,81.521739,100,6
10/18/07,0.014706,0.019,9,18,3.208333,9,5,8,NA,NA,NA,NA,71.541667,77,15,91.5,98,5
10/19/07,0.013529,0.028,10,26,12,40,19,38,NA,NA,NA,NA,68.291667,76,16,88.041667,100,5
10/20/07,0.020529,0.044,10,41,18.916667,41,19,39,NA,NA,NA,NA,59.791667,76,14,71.75,100,2
10/21/07,0.031529,0.053,10,49,10.75,28,21,26,NA,NA,NA,NA,60.041667,80,14,73.958333,100,0
